food,calories_kcal,carbs_g,protein_g,fat_g,serving_size_g,sugar_g,fibre_g,sodium_mg
Hot tea (Garam Chai),33.98374938964844,5.434999942779541,0.8165000081062317,1.1200000047683716,210.49998841513053,5.422499656677246,0.0,6.564999580383301
Instant coffee,104.20124816894531,16.440000534057617,2.882999897003174,3.359999895095825,449.9999960981619,16.267499923706055,0.0,22.125
Espreso coffee,81.69625091552734,10.493499755859375,2.7689998149871826,3.3889999389648438,158.50000404328637,10.355999946594238,0.0,22.154998779296875
Iced tea,33.095001220703125,8.644999504089355,0.08949999511241913,0.03500000014901161,320.0000138431153,8.644999504089355,0.0,0.75
Raw mango drink (Aam panna),96.44041442871094,24.292449951171875,0.42163750529289246,0.07072500139474869,268.49998673321085,20.112924575805664,1.6432875394821167,214.33004760742188
Fruit Punch (with fresh juices),196.59661865234375,51.06184005737305,0.758525013923645,0.17691999673843384,544.3349667238696,50.327239990234375,0.32690000534057617,14.32765007019043
Fruit Punch (with squashes),116.2970962524414,30.119091033935547,0.36377501487731934,0.08466999977827072,502.8350260224001,29.5839900970459,0.8458999991416931,11.351400375366211
Lemonade,72.64044952392578,19.133899688720703,0.12160000205039978,0.0364999994635582,349.2500018716071,19.11079978942871,0.05889999866485596,99.61869812011719
Lem-o-gin,76.76319885253906,19.806650161743164,0.288100004196167,0.1002499982714653,356.7499888014598,19.209049224853516,0.4609000086784363,100.3709487915039
Cumin infused water (Jeere/Zeere ka pani),30.803081512451172,6.317924976348877,0.5744500160217285,0.3744249939918518,338.87498868630064,4.953000068664551,1.5708000659942627,642.490478515625
Coco pine cooler,141.54014587402344,24.71183967590332,2.398940086364746,4.321919918060303,432.1999805619021,23.8723201751709,1.1118199825286865,100.25231170654297
Summer cooler,110.94645690917969,26.86810302734375,1.849552035331726,0.17510999739170074,494.65997351488784,25.782846450805664,0.9730759859085083,7.783298015594482
Hot cocoa,172.09100341796875,17.636999130249023,6.422999858856201,8.71500015258789,191.00000129094474,17.20199966430664,0.0,46.22800064086914
Cold coffee with ice cream,204.56399536132812,33.90299987792969,4.733999729156494,6.360000133514404,301.49999941436636,33.70800018310547,0.024000000208616257,41.742000579833984
Banana milkshake (Kele milkshake),225.6337890625,31.597999572753906,6.368599891662598,8.19260025024414,345.5000022805273,27.488000869750977,0.8840000033378601,47.01799774169922
Mango milkshake (Aam milkshake),202.2834930419922,25.70800018310547,6.138599872589111,8.339600563049316,355.4999868551124,25.413000106811523,0.9399999976158142,47.1879997253418
Pineapple milkshake (Ananas milkshake),203.09100341796875,27.79199981689453,6.047999858856201,8.124000549316406,364.5000050308325,27.70199966430664,0.0,51.22800064086914
Orange milkshake (Narangi milkshake),183.4409942626953,22.707000732421875,5.958000183105469,8.064000129699707,319.4999866684341,22.617000579833984,0.0,46.72800064086914
Egg nog,294.8243103027344,24.720199584960938,14.496099472045898,15.510199546813965,303.50001717973436,24.46739959716797,0.059950001537799835,123.36554718017578
Sweet Lassi (Meethi lassi),157.8000030517578,28.799999237060547,5.699999809265137,3.0,442.49998107619433,28.799999237060547,0.0,81.0
Lassi (salted),79.76121520996094,7.856550216674805,5.734774589538574,3.041599988937378,423.25000970130355,7.803450107574463,0.07587499916553497,276.8125
Cheese and chilli sandwich ,121.59893035888672,15.276299476623535,3.7885499000549316,5.452600002288818,55.749999450676434,1.326799988746643,1.1589000225067139,243.9066925048828
Egg sandwich (Ande ka sandwich),145.12322998046875,14.7972993850708,4.41254997253418,8.017350196838379,50.74999740220949,0.9458000063896179,0.9528999924659729,234.29769897460938
Cucumber sandwich (Kheere ka sandwich),114.57322692871094,15.652299880981445,2.9150497913360596,4.85860013961792,60.75000088533196,0.9982999563217163,1.4879000186920166,220.30520629882812
Cheese and pineapple sandwich (Cheese aur ananas ka sandwich),143.6757354736328,16.224300384521484,4.569550037384033,7.1346001625061035,55.750002936608126,2.286799907684326,1.2989000082015991,318.8656921386719
Cheese and tomato sandwich (Cheese aur tamatar ke sandwich),141.73385620117188,15.682299613952637,4.612549781799316,7.149849891662598,58.250003454155404,1.6582999229431152,1.1504000425338745,320.2052001953125
Chicken sandwich,147.5313262939453,14.782299995422363,7.644799709320068,6.843600273132324,58.25000040170589,0.9307999610900879,0.9528999924659729,226.98019409179688
Peanut and tomato sandwich (Moongfali aur tamatar ka sandwich),177.04185485839844,17.341049194335938,5.78879976272583,9.803600311279297,60.74999885221774,1.7107999324798584,2.4479000568389893,221.7314453125
Rainbow sandwich,130.443359375,16.38673210144043,3.704819917678833,5.9970526695251465,47.82500329800051,1.9346524477005005,1.0056650638580322,292.92132568359375
Club sandwich ,206.79112243652344,16.26427459716797,6.423774719238281,13.288050651550293,87.87499841564404,1.7691500186920166,1.5889500379562378,405.683837890625
Vegetarian club sandwich,164.36537170410156,16.313274383544922,4.517775058746338,9.389050483703613,82.87500491047776,1.7241499423980713,1.704450011253357,253.06985473632812
Pin wheel sandwich,86.83636474609375,3.9036498069763184,2.443774938583374,6.950550079345703,27.87499846870168,0.40540000796318054,0.25894999504089355,104.3613510131836
Carrot apple sandwich (Gajar aur seb ka sandwich),208.22377014160156,28.246225357055664,5.151700019836426,8.873074531555176,97.24999530272592,5.149549961090088,3.555500030517578,294.5534362792969
Salami sandwich,189.7783203125,15.992300033569336,6.456549644470215,11.51609992980957,74.24999642935697,1.4822999238967896,1.462399959564209,492.0887145996094
Vegetable and mayonnaise sandwich,166.83128356933594,15.846564292907715,3.0555198192596436,10.517109870910645,68.30000463045444,1.6042850017547607,1.605870008468628,234.0612030029297
Egg and tomato sandwich (Ande aur tamatar ka sandwich),132.15328979492188,15.412300109863281,4.555049896240234,6.252974987030029,59.5000032046968,1.2445499897003174,1.051650047302246,251.8389434814453
Sweet open sandwich,144.1050262451172,23.153799057006836,2.9413998126983643,4.810800075531006,58.99999869244205,7.21619987487793,1.3904000520706177,121.10980224609375
Mushroom and cheese sandwich (toasted),172.2699737548828,15.917299270629883,5.897549629211426,9.853599548339844,75.7499965514155,1.5957999229431152,1.7303999662399292,345.8526916503906
Cheese and tomato sandwich (toasted) (Cheese aur tamatar ke sandwich (toasted)),170.1189727783203,16.222299575805664,5.1675496101379395,9.811100006103516,75.74999460739356,2.0257999897003174,1.3479000329971313,346.8876953125
Pea potato sandwich (toasted) (Matar aloo ka sandwich),146.55545043945312,22.36838150024414,4.092618942260742,4.823389530181885,88.87499553868653,1.1845059394836426,2.5648486614227295,233.41082763671875
Paneer pea sandwich (toasted) (Paneer matar ka sandwich),221.7926483154297,21.376380920410156,11.02061939239502,10.643389701843262,88.87499842573455,5.684505939483643,1.8808485269546509,238.98281860351562
Chicken sandwich (toasted),143.09962463378906,16.09054946899414,10.329299926757812,4.544849872589111,85.5000055794395,1.8248000144958496,1.4039000272750854,280.05419921875
Pea keema sandwich (toasted) (Matar aur keema ka sandwich),145.39048767089844,17.14426040649414,9.356972694396973,4.749497413635254,84.64000184919651,1.6446064710617065,2.076564073562622,245.51719665527344
Classic club sandwich,448.8572998046875,41.328697204589844,15.05579948425293,25.84239959716797,223.50000671869967,4.150899887084961,3.629300117492676,620.1951293945312
Sesame toast,309.1819763183594,6.959887504577637,1.1857500076293945,30.83049964904785,62.43750058265461,0.9132375121116638,0.8235374689102173,80.40401458740234
Cracked wheat porridge (Meetha daliya),328.70751953125,35.75,10.649999618530273,16.44499969482422,402.9999819267418,20.625,2.5,64.05000305175781
Semolina porridge (Suji/Rava daliya),280.4862976074219,34.43600082397461,10.425999641418457,11.347999572753906,277.99999278642406,20.954999923706055,1.944000005722046,64.51200103759766
Oatmeal Porridge,289.9574890136719,34.88999938964844,10.329999923706055,12.819999694824219,397.9999984066906,20.684999465942383,1.559999942779541,64.25
Cornflakes with milk,326.1679992675781,41.555999755859375,9.984000205993652,14.232000350952148,277.9999934477816,27.72599983215332,2.1600000858306885,73.80400085449219
Rice flakes (Chiwda/Aval),312.583984375,43.28099822998047,10.055999755859375,11.093999862670898,278.0000014243399,20.237998962402344,1.0379999876022339,62.27799987792969
Wheat flakes,312.583984375,43.28099822998047,10.055999755859375,11.093999862670898,278.0000014243399,20.237998962402344,1.0379999876022339,62.27799987792969
Murmura (Puffed rice),315.02178955078125,43.560001373291016,10.0649995803833,11.23799991607666,277.999989592688,20.327999114990234,0.7680000066757202,62.611000061035156
Puffed wheat (Murmure/Moori),315.02178955078125,43.560001373291016,10.0649995803833,11.23799991607666,277.999989592688,20.327999114990234,0.7680000066757202,62.611000061035156
Boiled egg (Ubla anda),68.4854507446289,0.181099995970726,6.6905999183654785,4.588699817657471,150.99998793887423,0.0015999999595806003,0.16580000519752502,258.1203918457031
Fried Egg ,129.16795349121094,0.181099995970726,6.6905999183654785,11.331949234008789,57.74999567646775,0.0015999999595806003,0.16580000519752502,258.1203918457031
Poached egg,69.3654556274414,0.20509999990463257,6.706599712371826,4.588699817657471,55.99999528734806,0.025599999353289604,0.16580000519752502,651.3203735351562
Scrambled egg (Ande ki bhurji),109.17970275878906,0.9460999965667725,7.20359992980957,8.548700332641602,70.0000009397046,0.7591000199317932,0.16580000519752502,262.2593994140625
Baked egg ,221.03546142578125,15.571099281311035,12.00059986114502,12.77869987487793,100.9999982687587,1.6815999746322632,1.0357999801635742,528.5203857421875
Plain omelette/omlet,389.5476989746094,0.9221000075340271,13.819600105285645,36.80870056152344,143.00000498057685,0.7351000308990479,0.16580000519752502,323.43939208984375
Stuffed egg omelette/omlet,533.2089233398438,6.031100273132324,22.538599014282227,46.56919860839844,261.9999942099641,4.109099864959717,1.9658000469207764,700.0294189453125
Pancake,85.96858215332031,8.661999702453613,2.4021201133728027,4.57272481918335,42.27500106027467,1.4014999866485596,0.2759999930858612,60.74850082397461
Keema pancake,194.5767364501953,10.551835060119629,9.942151069641113,12.413161277770996,110.38249605393065,2.424740791320801,0.9279019832611084,138.41957092285156
Vegetable pancake,146.6440887451172,14.333499908447266,4.528619766235352,7.700475215911865,117.15000541698343,2.442625045776367,2.9019999504089355,136.70724487304688
Jam and fruit pancake,106.567626953125,13.633562088012695,2.4939324855804443,4.609537601470947,65.7749989969569,5.16168737411499,0.7949999570846558,61.22681427001953
Khoa and coconut pancake,193.5142822265625,19.44045066833496,4.965994834899902,10.881975173950195,71.14999850464253,11.718975067138672,1.175125002861023,71.86438751220703
Brown stock,103.65458679199219,1.2235249280929565,9.470649719238281,6.727575302124023,486.07500312468846,0.6816999912261963,0.4558500051498413,216.77780151367188
Vegetable stock,73.13308715820312,3.986375093460083,1.2450000047683716,5.723225116729736,415.4249816038316,1.8399499654769897,1.5851000547409058,206.66905212402344
Chicken stock,112.33460235595703,1.3827500343322754,13.85925006866455,5.67864990234375,375.9499838164557,0.73580002784729,0.3891500234603882,220.231201171875
Clear tomato soup (Tamatar ka soup),318.41461181640625,13.721650123596191,19.05940055847168,48.61235046386719,397.6500054550876,5.713000297546387,7.809000015258789,20422.279296875
